key,summary,issueType,status,priority,assignee,reporter,labels,resolution,storyPoints,created,updated,resolutionDate
CX-3219,Address field marked mandatory but missing (*) indicator,Bug,Done,Medium,Varun Wilson,Shini,VENDOR,Done,,2026-04-24T15:01:08.416+0530,2026-05-18T11:49:43.364+0530,2026-05-18T11:49:43.342+0530
CX-3252,Enhance contract expiration email notifications to include non-corporate property contacts,Task,Done,Medium,Vysakh R J,Srilakshmi Sivan,EmailTemplateChange,Done,,2026-04-30T11:57:42.930+0530,2026-05-18T12:42:54.060+0530,2026-05-18T12:42:54.035+0530
CX-3254,Start Date and End Date filters not working correctly in MSA module,Bug,Done,Medium,Varun Wilson,Srilakshmi Sivan,MSATab,Done,,2026-04-30T13:37:14.643+0530,2026-07-02T18:40:56.437+0530,2026-07-02T18:40:56.419+0530
CX-3274,Add Sorting for “Number of Rows” Column – File Uploads Page,Task,Done,Medium,ajay.dev,Shini,PropertyListBulkUpload,Done,,2026-05-05T12:53:42.419+0530,2026-05-20T17:47:21.727+0530,2026-05-18T09:47:52.927+0530
CX-3287,Update Email Preview UI in “Send RFP to Vendors” page to latest design,Task,Done,Medium,Rakhesh J,Srilakshmi Sivan,EmailTemplateChange,Done,,2026-05-06T17:04:41.861+0530,2026-05-18T12:45:41.014+0530,2026-05-18T12:45:40.984+0530
CX-3303,Update Header and Footer Design for “RFP Due Date Passed” Email Template,Task,Done,Medium,Rakhesh J,Srilakshmi Sivan,EmailTemplateChange,Done,,2026-05-11T12:28:56.889+0530,2026-05-18T12:48:53.672+0530,2026-05-18T12:48:53.656+0530
CX-3304,"RFP Updation mail not received when updating fields other than RFP Name, Attachments, Description, or Extended Due Date",Bug,Done,Medium,ajay.dev,Shini,EmailTemplateChange; RFP,Done,,2026-05-11T18:50:33.915+0530,2026-05-18T12:53:48.198+0530,2026-05-18T12:53:48.175+0530
CX-3319,[TRELLO] RFP Email buttons lose styling/formatting when forwarded,Bug,Done,Medium,ajay.dev,Shini,TrelloTickets,Done,,2026-05-13T12:33:32.709+0530,2026-06-11T18:47:48.366+0530,2026-06-11T18:47:48.344+0530
CX-3321,"[TRELLO] Set Start/End Dates as optional and support ""N/A"" for MSA contracts",Task,Done,Medium,Varun Wilson,Shini,TrelloTickets,Done,1,2026-05-13T12:46:00.260+0530,2026-06-09T21:27:50.031+0530,2026-06-09T21:27:50.006+0530
CX-3350,Change the password reset email text from 24hours to one hour as the current expiry is set to one hour in cognito,Story,Done,Medium,Vysakh R J,Nisha C N,,Done,,2026-05-18T11:42:23.905+0530,2026-05-19T13:01:12.308+0530,2026-05-19T13:01:12.285+0530
CX-3351,Add health check endpoints to sow-rfq and esign api,Story,Done,Medium,Varun Wilson,Basim E,,Done,,2026-05-18T12:02:50.005+0530,2026-05-21T10:40:21.062+0530,2026-05-21T10:40:21.045+0530
CX-3352,Automated email reminders are not being sent for pending E-Sign documents,Task,Done,Medium,Srilakshmi Sivan,Shini,TrelloTickets,Done,,2026-05-18T19:29:09.551+0530,2026-06-16T10:54:03.883+0530,2026-06-16T10:54:03.860+0530
